RHKL00074;1002;24.930003;60.192453;243;2;0;1171445;1938
H8383;E;24.73058;60.21191;259;1;0;0;
H8382;E;24.7755;60.2172;60;1;0;0;
RHKL00084;1009;24.923243;60.164408;7;1;1040404;1040406;1933
H9547;N;25.0599;60.3233;25;1;0;0;
RHKL00227;1009;24.95304;60.18845;354;1;1121405;1220435;1913
H9540;N;25.04944;60.30314;189;1;0;0;
RHKL00036;1007A;24.925437;60.198625;347;1;1171404;1171406;1914
RHKL00233;1007A;24.934121;60.200972;57;2;1173435;1173418;1937
RHKL00235;1008;24.91487;60.163368;88;1;1201403;1201431;1934
H9715;R;25.07948;60.35328;14;1;0;0;
RHKL00065;1008;25.2094;60.353033;223;2;1230407;1230406;1903
RHKL00091;1004;24.913077;60.191133;290;2;0;1301456;1951
H9713;H;24.85321;60.6342;319;1;0;0;
metro88;2;25.146667;60.207467;270;2;0;0;0000
metro84;1;25.1123;60.2395;270;2;0;0;0000
H9718;H;25.05814;60.49215;149;1;0;0;
metro87;1;24.922855;60.163886;270;2;0;0;0000
H9868;Z;25.3231;60.6595;213;1;0;0;
RHKL00083;1010;24.906795;60.193393;143;2;1180442;1180440;1931
RHKL00082;1004;24.920301;60.186442;146;2;1140441;1140439;1928
RHKL00081;1004;24.932636;60.174793;151;1;0;1080416;2002
RHKL00087;1010;24.924809;60.183483;323;1;1140436;1140438;1926
RHKL00086;1010;24.942369;60.167477;295;2;0;1291404;2008
H9863;Z;25.59137;60.96545;84;1;0;0;
RHKL00042;1003;24.952652;60.164764;353;2;1050412;1050401;1903
RHKL00040;1008;24.927979;60.181611;216;2;1140451;1140449;1915
RHKL00089;1010;24.92706;60.18194;143;2;1140439;1140437;1923
RHKL00088;1007B;24.953483;60.170403;353;2;0;1220434;2001
metro86;2;24.966571;60.189084;90;1;0;0;0000
RHKL00122;1007B;24.933308;60.198066;258;2;1220434;1171409;1937
K22;K22;24.958048;60.167236;352;1;0;0;
metro82;0;25.064217;60.211617;90;1;0;0;0000
metro83;1;25.027583;60.193333;90;1;0;0;0000
H9536;N;24.93534;60.18898;167;1;0;0;
metro80;1;25.099767;60.237333;90;1;0;0;0000
H9716;R;24.93693;60.18499;166;1;0;0;
RHKL00211;1006;24.924891;60.161418;145;1;0;1040446;1940
H9538;N;24.99514;60.24283;223;1;0;0;
RHKL00213;1006;24.971469;60.214618;0;1;0;1040446;1950
RHKL00212;1007A3;24.97051;60.215097;197;2;1220419;1220417;1907
RHKL00215;1003;24.947627;60.171379;199;2;1020458;1020454;1923
H8553;Y;24.93141;60.2022;336;1;0;0;
RHKL00217;1001 3;24.971767;60.214545;25;2;1220419;1220417;1922
RHKL00219;1006;24.979002;60.208563;306;2;0;1230407;1946
RHKL00100;1007B;24.949529;60.197639;311;2;0;1220434;1948
RHKL00116;1010;24.947563;60.161191;75;1;0;1070425;1940
RHKL00107;1004;24.974285;60.167358;236;1;0;1080416;1947
metro81;2;25.079521;60.210558;90;1;0;0;0000
RHKL00108;1004;24.931863;60.175631;333;1;1130432;1130434;1924
RHKL00231;1002;24.93514;60.168808;237;1;1020454;1040411;1926
H9553;N;24.9362;60.2127;77;1;0;0;
H9551;N;24.94195;60.17323;5;1;0;0;
H8246;A;24.94024;60.17315;176;1;0;0;
RHKL00237;1008;24.952258;60.187138;272;2;1121451;1121406;1927
RHKL00236;1008;24.971274;60.214411;26;1;0;1203404;2018
RHKL00239;1006;24.941134;60.16816;336;2;0;1230407;2009
RHKL00121;1010;24.892784;60.208194;16;2;0;1291404;1938
metro74;2;25.146667;60.207467;270;2;0;0;0000
H8949;M;24.9331;60.1927;51;1;0;0;
metro72;1;24.938027;60.170209;90;1;0;0;0000
H8943;M;24.8489;60.28525;335;1;0;0;
metro78;2;25.120067;60.205583;270;2;0;0;0000
metro79;2;24.914233;60.162985;90;1;0;0;0000
H8940;M;24.85565;60.25647;169;1;0;0;
RHKL00092;1004;24.955647;60.169199;266;1;1010424;1020455;1932
metro75;1;25.114893;60.240289;270;2;0;0;0000
H8247;A;24.89413;60.21796;305;1;0;0;
RHKL00047;1007B;24.929306;60.178014;160;2;1140437;1130435;1924
metro71;1;25.114893;60.240289;270;2;0;0;0000
RHKL00052;1007A;24.953761;60.181363;231;2;1113433;1111430;1925
metro73;1;25.065483;60.211617;270;2;0;0;0000
RHKL00057;1008;24.963107;60.187931;69;1;1121450;1121436;1913
RHKL00056;1002;24.921894;60.175531;200;2;1130443;1130441;1928
RHKL00054;1003;24.922304;60.185156;324;2;1050412;1050401;1844
RHKL00059;1003;24.948197;60.188322;178;2;1122441;1121481;1933
RHKL00117;1004;24.955423;60.169357;92;2;1020450;1010425;1913
RHKL00402;1001 3;24.969659;60.214179;338;2;1220419;1220417;1833
RHKL00077;1009;24.934227;60.199478;170;2;0;1174401;1943
RHKL00075;1009;24.950077;60.181282;262;2;1112434;1112432;1923
RHKL00032;1006;24.962739;60.201091;22;1;1240418;1230409;1909
k12;k12;25.011114;60.250269;127;1;0;0;
k15;k15;25.04535;60.205939;209;1;0;0;
k17;k17;24.942323;60.166296;42;1;0;0;
RHKL00228;1007A;24.921635;60.185542;326;1;1140436;1140438;1924
RHKL00207;1006;24.96583;60.203025;277;2;1230410;1240419;1934
H8947;M;24.87753;60.23939;303;1;0;0;
RHKL00112;1010;24.901528;60.196355;357;1;1180441;1160414;1919
H8938;M;24.92243;60.20711;135;1;0;0;
RHKL00115;1004;24.973846;60.167409;215;1;0;1080416;1939
RHKL00221;1003;24.942936;60.166517;55;1;1040437;1020463;1926
